GENERACION,CAMPUS,PROGRAMA
202313,Irapuato,IBQ
202313,Irapuato,IC
202313,Irapuato,ICI
202313,Irapuato,ESC
202313,Irapuato,LRI
202313,Irapuato,ARQ
202313,Irapuato,IAG
202313,Irapuato,IID
202313,Irapuato,IQ
202313,Irapuato,LTM
202313,Irapuato,LED
202313,Irapuato,NEG
202313,Irapuato,BGB
202313,Irapuato,LNB
202313,Irapuato,LUB
202313,Irapuato,LPE
202313,Irapuato,IIT
202313,Irapuato,SLD
202313,Irapuato,LEI
202313,Irapuato,IIS
202313,Irapuato,MO
202313,Irapuato,IMT
202313,Irapuato,IBT
202313,Irapuato,LDO
202313,Irapuato,CPF
202313,Irapuato,LTP
202313,Irapuato,LC
202313,Irapuato,LAD
202313,Irapuato,LIN
202313,Irapuato,AMC
202313,Irapuato,LLE
202313,Irapuato,LBC
202313,Irapuato,MC
202313,Irapuato,IRS
202313,Irapuato,LAF
202313,Irapuato,IFI
202313,Irapuato,IMD
202313,Irapuato,IPU
202313,Irapuato,LEC
202313,Irapuato,LDE
202313,Irapuato,IAL
202313,Irapuato,LPS
202313,Irapuato,LIT
202313,Irapuato,ITD
202313,Irapuato,ICT
202313,Irapuato,CIS
202313,Irapuato,IDS
202313,Irapuato,LAE
202313,Irapuato,LEM
202313,Irapuato,IDM
202313,Irapuato,IE
202313,Irapuato,IM
202313,Irapuato,LDI
202313,Irapuato,INA
202313,Irapuato,ITC
202313,Zacatecas,IBQ
202313,Zacatecas,IC
202313,Zacatecas,ICI
202313,Zacatecas,ESC
202313,Zacatecas,LRI
202313,Zacatecas,ARQ
202313,Zacatecas,IAG
202313,Zacatecas,IID
202313,Zacatecas,IQ
202313,Zacatecas,LTM
202313,Zacatecas,LED
202313,Zacatecas,NEG
202313,Zacatecas,BGB
202313,Zacatecas,LNB
202313,Zacatecas,LUB
202313,Zacatecas,LPE
202313,Zacatecas,IIT
202313,Zacatecas,SLD
202313,Zacatecas,LEI
202313,Zacatecas,IIS
202313,Zacatecas,MO
202313,Zacatecas,IMT
202313,Zacatecas,IBT
202313,Zacatecas,LDO
202313,Zacatecas,CPF
202313,Zacatecas,LTP
202313,Zacatecas,LC
202313,Zacatecas,LAD
202313,Zacatecas,LIN
202313,Zacatecas,AMC
202313,Zacatecas,LLE
202313,Zacatecas,LBC
202313,Zacatecas,MC
202313,Zacatecas,IRS
202313,Zacatecas,LAF
202313,Zacatecas,IFI
202313,Zacatecas,IMD
202313,Zacatecas,IPU
202313,Zacatecas,LEC
202313,Zacatecas,LDE
202313,Zacatecas,IAL
202313,Zacatecas,LPS
202313,Zacatecas,LIT
202313,Zacatecas,ITD
202313,Zacatecas,ICT
202313,Zacatecas,CIS
202313,Zacatecas,IDS
202313,Zacatecas,LAE
202313,Zacatecas,LEM
202313,Zacatecas,IDM
202313,Zacatecas,IE
202313,Zacatecas,IM
202313,Zacatecas,LDI
202313,Zacatecas,INA
202313,Zacatecas,ITC
202313,Chiapas,IBQ
202313,Chiapas,IC
202313,Chiapas,ICI
202313,Chiapas,ESC
202313,Chiapas,LRI
202313,Chiapas,ARQ
202313,Chiapas,IAG
202313,Chiapas,IID
202313,Chiapas,IQ
202313,Chiapas,LTM
202313,Chiapas,LED
202313,Chiapas,NEG
202313,Chiapas,BGB
202313,Chiapas,LNB
202313,Chiapas,LUB
202313,Chiapas,LPE
202313,Chiapas,IIT
202313,Chiapas,SLD
202313,Chiapas,LEI
202313,Chiapas,IIS
202313,Chiapas,MO
202313,Chiapas,IMT
202313,Chiapas,IBT
202313,Chiapas,LDO
202313,Chiapas,CPF
202313,Chiapas,LTP
202313,Chiapas,LC
202313,Chiapas,LAD
202313,Chiapas,LIN
202313,Chiapas,AMC
202313,Chiapas,LLE
202313,Chiapas,LBC
202313,Chiapas,MC
202313,Chiapas,IRS
202313,Chiapas,LAF
202313,Chiapas,IFI
202313,Chiapas,IMD
202313,Chiapas,IPU
202313,Chiapas,LEC
202313,Chiapas,LDE
202313,Chiapas,IAL
202313,Chiapas,LPS
202313,Chiapas,LIT
202313,Chiapas,ITD
202313,Chiapas,ICT
202313,Chiapas,CIS
202313,Chiapas,IDS
202313,Chiapas,LAE
202313,Chiapas,LEM
202313,Chiapas,IDM
202313,Chiapas,IE
202313,Chiapas,IM
202313,Chiapas,LDI
202313,Chiapas,INA
202313,Chiapas,ITC
202313,Central de Veracruz,IBQ
202313,Central de Veracruz,IC
202313,Central de Veracruz,ICI
202313,Central de Veracruz,ESC
202313,Central de Veracruz,LRI
202313,Central de Veracruz,ARQ
202313,Central de Veracruz,IAG
202313,Central de Veracruz,IID
202313,Central de Veracruz,IQ
202313,Central de Veracruz,LTM
202313,Central de Veracruz,LED
202313,Central de Veracruz,NEG
202313,Central de Veracruz,BGB
202313,Central de Veracruz,LNB
202313,Central de Veracruz,LUB
202313,Central de Veracruz,LPE
202313,Central de Veracruz,IIT
202313,Central de Veracruz,SLD
202313,Central de Veracruz,LEI
202313,Central de Veracruz,IIS
202313,Central de Veracruz,MO
202313,Central de Veracruz,IMT
202313,Central de Veracruz,IBT
202313,Central de Veracruz,LDO
202313,Central de Veracruz,CPF
202313,Central de Veracruz,LTP
202313,Central de Veracruz,LC
202313,Central de Veracruz,LAD
202313,Central de Veracruz,LIN
202313,Central de Veracruz,AMC
202313,Central de Veracruz,LLE
202313,Central de Veracruz,LBC
202313,Central de Veracruz,MC
202313,Central de Veracruz,IRS
202313,Central de Veracruz,LAF
202313,Central de Veracruz,IFI
202313,Central de Veracruz,IMD
202313,Central de Veracruz,IPU
202313,Central de Veracruz,LEC
202313,Central de Veracruz,LDE
202313,Central de Veracruz,IAL
202313,Central de Veracruz,LPS
202313,Central de Veracruz,LIT
202313,Central de Veracruz,ITD
202313,Central de Veracruz,ICT
202313,Central de Veracruz,CIS
202313,Central de Veracruz,IDS
202313,Central de Veracruz,LAE
202313,Central de Veracruz,LEM
202313,Central de Veracruz,IDM
202313,Central de Veracruz,IE
202313,Central de Veracruz,IM
202313,Central de Veracruz,LDI
202313,Central de Veracruz,INA
202313,Central de Veracruz,ITC
202013,Toluca,LIN
202313,Sonora Norte,IID
202313,Ciudad de México,IE
202313,Guadalajara,ITD
202313,Estado de México,ITD
202313,Guadalajara,LUB
202013,Puebla,IDS
202013,Hidalgo,ITC
202113,Hidalgo,LEM
202113,Aguascalientes,LEM
202113,León,LDE
202113,Guadalajara,LDO
202113,Guadalajara,IE
202113,León,LDI
202113,Laguna,LDI
202113,Aguascalientes,ITD
202213,San Luis Potosí,LEM
202213,Cuernavaca,LIN
202213,Estado de México,LDE
202213,Toluca,LDE
202213,Sonora Norte,LDE
202213,Santa Fe,LDO
202213,Ciudad de México,IID
202213,Estado de México,IID
202213,Santa Fe,LPE
202213,Aguascalientes,ITD
202213,Santa Fe,IRS
202213,Aguascalientes,IRS
202213,Santa Fe,LTP
202213,Sinaloa,IC
202213,Hidalgo,IC
202213,Cuernavaca,IC
